winner,weight_class,is_title_bout,gender,total_rounds,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
0,1,0,0,5.0,12,5,30.0,160.02,56.7,0,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,13,6,31.0,165.1,56.7,0,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38,-1,-1,-1.0,-5.079999999999984,0.0,0.94,-0.1099999999999998,-0.0099999999999999,0.04,-0.02,0.26,0.1999999999999999,0.69
1,11,0,1,3.0,10,1,34.0,190.5,106.59,0,2.87,1.7,0.52,0.5,0.6,1.0,0.2,4.75,7,4,30.0,182.88,119.75,1,4.09,5.02,0.54,0.0,0.47,0.5,0.0,0.0,3,-3,4.0,7.620000000000003,-13.159999999999997,-1.2199999999999998,-3.3199999999999994,-0.02,0.5,0.13,0.5,0.2,4.75
1,9,0,1,3.0,13,4,26.0,187.96,83.91,0,3.6,4.09,0.52,0.38,0.45,0.63,0.6,2.24,7,3,32.0,185.42,83.91,0,4.29,5.31,0.46,0.75,0.46,0.65,0.3,1.67,6,1,-6.0,2.5400000000000205,0.0,-0.69,-1.2199999999999998,0.06,-0.37,-0.01,-0.02,0.3,0.5700000000000003
1,5,0,1,3.0,8,0,25.0,177.8,61.23,2,8.05,3.58,0.54,0.0,0.51,0.9,0.5,0.0,9,2,23.0,172.72,61.23,1,5.32,4.18,0.46,0.28,0.51,0.47,0.7,0.91,-1,-2,2.0,5.0800000000000125,0.0,2.7300000000000004,-0.5999999999999996,0.08,-0.28,0.0,0.43,-0.1999999999999999,-0.91
0,6,0,1,3.0,18,6,35.0,177.8,65.77,0,7.36,5.57,0.56,0.23,0.43,0.61,1.1,1.24,14,5,27.0,177.8,65.77,2,2.88,1.73,0.49,0.34,0.65,0.6,1.3,2.28,4,1,8.0,0.0,0.0,4.48,3.84,0.07,-0.11,-0.22,0.01,-0.1999999999999999,-1.0399999999999998
1,6,0,1,3.0,16,5,27.0,185.42,65.77,0,6.48,5.25,0.42,0.0,0.53,1.0,0.8,0.0,8,2,29.0,177.8,65.77,0,6.03,8.2,0.57,0.0,0.52,0.66,0.0,0.0,8,3,-2.0,7.619999999999976,0.0,0.4500000000000002,-2.9499999999999997,-0.1499999999999999,0.0,0.01,0.3399999999999999,0.8,0.0
0,7,0,1,3.0,21,8,37.0,180.34,70.31,0,4.37,4.07,0.43,0.36,0.48,0.46,0.9,0.71,17,6,34.0,180.34,70.31,0,3.38,3.59,0.47,0.23,0.58,1.0,0.6,1.64,4,2,3.0,0.0,0.0,0.9900000000000002,0.4800000000000004,-0.0399999999999999,0.1299999999999999,-0.0999999999999999,-0.54,0.3,-0.93
0,6,0,1,3.0,16,6,28.0,175.26,65.77,0,3.21,3.74,0.37,0.6,0.57,0.72,0.7,3.02,29,12,34.0,185.42,65.77,1,6.14,6.29,0.48,0.46,0.47,0.58,0.8,1.63,-13,-6,-6.0,-10.159999999999997,0.0,-2.93,-2.55,-0.1099999999999999,0.1399999999999999,0.0999999999999999,0.14,-0.1,1.39
1,5,0,1,3.0,14,2,29.0,170.18,61.23,0,3.28,2.55,0.47,0.22,0.68,0.85,0.0,1.15,20,10,36.0,177.8,61.23,0,4.0,4.08,0.43,0.28,0.57,0.68,0.2,1.28,-6,-8,-7.0,-7.620000000000003,0.0,-0.7200000000000002,-1.5300000000000002,0.0399999999999999,-0.06,0.1100000000000001,0.1699999999999999,-0.2,-0.1300000000000001
1,6,0,1,3.0,14,5,29.0,180.34,65.77,0,3.44,3.36,0.46,0.0,0.63,0.28,0.3,0.0,9,2,30.0,180.34,65.77,2,7.15,7.36,0.4,1.0,0.6,0.84,0.0,0.28,5,3,-1.0,0.0,0.0,-3.71,-4.0,0.06,-1.0,0.03,-0.5599999999999999,0.3,-0.28
0,2,0,0,3.0,6,1,35.0,172.72,61.23,0,3.13,3.9,0.28,0.54,0.54,1.0,0.0,3.0,9,1,28.0,175.26,61.23,2,3.8,1.67,0.38,0.0,0.82,0.5,0.0,0.0,-3,0,7.0,-2.539999999999992,0.0,-0.6699999999999999,2.23,-0.0999999999999999,0.54,-0.2799999999999999,0.5,0.0,3.0
0,4,0,1,3.0,8,1,20.0,170.18,56.7,0,7.17,4.33,0.52,0.71,0.47,0.5,0.0,9.69,8,0,25.0,170.18,56.7,0,3.98,2.67,0.6,0.66,0.6,0.61,1.3,1.31,0,1,-5.0,0.0,0.0,3.19,1.66,-0.0799999999999999,0.0499999999999999,-0.13,-0.1099999999999999,-1.3,8.379999999999999
0,11,0,1,3.0,11,3,34.0,187.96,108.41,0,3.18,4.21,0.37,0.18,0.52,0.0,0.0,0.89,9,0,28.0,193.04,120.2,0,4.54,3.94,0.51,0.41,0.59,0.5,0.3,1.6,2,3,6.0,-5.079999999999984,-11.790000000000006,-1.36,0.27,-0.14,-0.2299999999999999,-0.0699999999999999,-0.5,-0.3,-0.7100000000000001
0,11,0,1,5.0,15,7,31.0,187.96,119.75,1,3.96,5.05,0.49,0.0,0.43,0.57,0.0,0.0,25,8,38.0,190.5,112.94,0,3.6,3.35,0.48,0.33,0.55,0.79,0.1,1.43,-10,-1,-7.0,-2.539999999999992,6.810000000000002,0.3599999999999999,1.6999999999999995,0.01,-0.33,-0.12,-0.22,-0.1,-1.43
1,10,0,1,3.0,27,17,40.0,190.5,92.99,1,3.03,3.32,0.47,0.36,0.47,0.67,0.5,1.1,12,5,31.0,195.58,92.99,1,5.13,4.9,0.45,0.45,0.5,0.8,0.2,0.6,15,12,9.0,-5.0800000000000125,0.0,-2.1,-1.5800000000000003,0.0199999999999999,-0.09,-0.03,-0.13,0.3,0.5000000000000001
1,6,0,1,3.0,11,1,26.0,170.18,65.77,0,3.45,2.28,0.48,0.54,0.57,0.66,1.1,1.14,6,1,27.0,170.18,65.77,0,2.88,2.53,0.58,0.47,0.39,0.0,1.5,6.06,5,0,-1.0,0.0,0.0,0.5700000000000003,-0.25,-0.0999999999999999,0.07,0.1799999999999999,0.66,-0.3999999999999999,-4.92
0,2,0,0,3.0,17,8,32.0,170.18,61.23,0,4.74,3.67,0.49,0.33,0.53,0.66,0.1,0.46,10,3,32.0,180.34,61.23,0,3.53,2.53,0.44,0.37,0.46,0.62,0.5,2.38,7,5,0.0,-10.159999999999997,0.0,1.2100000000000004,1.14,0.0499999999999999,-0.0399999999999999,0.07,0.04,-0.4,-1.92
1,9,0,1,3.0,36,17,36.0,185.42,83.91,1,3.18,3.37,0.45,0.38,0.53,0.34,1.6,2.17,18,12,34.0,182.88,83.91,1,5.35,4.59,0.48,0.22,0.44,0.5,0.3,0.13,18,5,2.0,2.539999999999992,0.0,-2.1699999999999995,-1.2199999999999998,-0.0299999999999999,0.16,0.09,-0.1599999999999999,1.3,2.04
0,7,0,1,3.0,8,2,32.0,175.26,70.31,1,3.7,3.19,0.52,0.58,0.58,0.41,0.5,5.03,11,2,31.0,182.88,70.31,0,5.35,5.76,0.52,0.53,0.55,0.64,0.4,2.77,-3,0,1.0,-7.620000000000003,0.0,-1.6499999999999997,-2.57,0.0,0.0499999999999999,0.0299999999999999,-0.23,0.0999999999999999,2.26
0,2,0,0,3.0,10,2,30.0,157.48,61.23,1,5.99,5.25,0.44,0.0,0.53,0.58,0.0,0.0,6,2,33.0,172.72,61.23,1,3.45,3.09,0.45,0.6,0.49,0.33,0.0,1.31,4,0,-3.0,-15.240000000000007,0.0,2.54,2.16,-0.01,-0.6,0.04,0.2499999999999999,0.0,-1.31
1,4,0,1,3.0,16,3,30.0,170.18,56.7,0,2.36,2.0,0.41,0.33,0.47,0.55,2.6,1.77,12,7,32.0,170.18,56.7,1,3.46,4.44,0.38,0.27,0.44,0.64,0.2,1.27,4,-4,-2.0,0.0,0.0,-1.1,-2.4400000000000004,0.0299999999999999,0.06,0.0299999999999999,-0.0899999999999999,2.4,0.5
0,6,0,1,3.0,11,3,29.0,177.8,65.77,0,3.2,3.24,0.42,0.0,0.56,0.67,0.3,0.0,9,1,27.0,180.34,65.77,2,8.3,9.47,0.58,0.5,0.59,1.0,0.5,3.0,2,2,2.0,-2.539999999999992,0.0,-5.1000000000000005,-6.23,-0.1599999999999999,-0.5,-0.0299999999999999,-0.3299999999999999,-0.2,-3.0
1,0,0,0,3.0,8,1,28.0,160.02,52.16,0,3.33,1.85,0.52,0.23,0.62,0.0,5.4,1.48,8,3,24.0,160.02,52.16,0,3.0,3.19,0.4,0.58,0.48,0.71,0.4,2.22,0,-2,4.0,0.0,0.0,0.33,-1.34,0.12,-0.35,0.14,-0.71,5.0,-0.7400000000000002
